address,date_added,description,phone,price,seller,title
"Albion Terrace, Saltburn-by-the-Sea",Added on 22/04/2021,"Michael Poole Estate Agents are Proud to Offer For Sale This Stunning Period Detached Six Bedroom Family Home Occupying One of the Finest and Most Sought After Positions in Saltburn with Stunning Views and Spanning Approximately 3,000 Sq. Ft Making This the Perfect Family Home.",01642 268069,"£675,000","Michael Poole, Redcar",6 bedroom detached house for sale
"Castlegate, York",Added on 19/03/2021,"Situated in the bustling heart of the City this beautiful period town house has recently been the subject of an extensive scheme of refurbishment and modernisation, to the highest of standards. Castlegate is one of York's better known city centre streets with Cliffords Tower literally at the end ...",01904 200093,"£675,000","Ashtons Estate Agents, York",3 bedroom town house for sale
"Lodge Gardens, Bramham",Added on 28/05/2021,"A simply stunning barn conversion revealing exceptionally light and spacious living accommodation with four bedrooms, a superb breakfast kitchen with open plan living room and dining area along with bespoke garden office. Altogether located in this highly sought after private gated development o...",01937 358003,"£675,000","Renton & Parr, Wetherby",4 bedroom detached house for sale
"Tivy Dale, Cawthorne",Reduced on 06/05/2021,"***REDUCED FOR SALE*** A BEAUTIFUL, DETACHED PERIOD HOME LOCATED IN THE HEART OF THIS AWARD WINNING VILLAGE, OFFERING BEAUTIFULLY PRESENTED 3/4 BEDROOM ACCOMMODATION IN A TRADITIONAL TWO STOREY CONFIGURATION. WITH A BLEND OF MODERN FIXTURES AND FITTINGS, AND PERIOD FEATURES, INCLUDING FIREPLA...",01226 977138,"£675,000","Simon Blyth, Penistone",4 bedroom character property for sale
"Plot 6, Summerbridge, North Yorkshire",Added on 10/05/2019,"CLICK ON VIDEO TOUR TO VIEW FULL BROCHURE. A stone built four bedroom detached house with a stylish contemporary interior comprising: entrance hall, spacious open plan dining / kitchen with integrated appliances utility room, downstairs W/C and a spacious living room leading into the garden ro,o...",01423 429025,"£675,000","Hopkinsons, Harrogate",4 bedroom detached house for sale
"Heath Villas, Savile Park, Halifax",Added on 26/05/2021, Situated in one of Calderdale's premier residential locations lies this substantial Victorian semi - detached residence providing superb 6 bedroomed family accommodation on four floors. Just step inside this delightful period residence and you cannot fail to be impressed by the attractive accom...,01422 757059,"£675,000","Property @ Kemp and Co, Halifax",6 bedroom character property for sale
"House, North Yorkshire",Reduced on 22/04/2021,"NINE BEDROOM GUEST HOUSE AND OWNERS ACCOMMODATION Impressive and Deceptively Spacious Three Storey Building
Easily Run Concern by a Husband and Wife Team with Part Time Staff
Impressive Adjusted Net Profits in Excess of £62,000
A FABULOUS BUY, VIEWING IS A MUST
Weekly Turnover £3,500
REF 585359....",0113 451 0392,"£675,000","Ernest Wilsons & Co Limited, Leeds",House for sale
"Old Fieldhurst, Forest Moor Road, Harrogate, North Yorkshire, HG5",Reduced on 17/02/2021,This impressive four bedroom detached period home dating back to 1860 with extensive landscaped gardens is appointed to an exceptionally high standard throughout and enjoys a prime country setting midway between Knaresborough and Harrogate.,01423 429041,"£675,000","Dacre Son & Hartley, Harrogate",4 bedroom detached house for sale
"Main Street, East Ardsley",Added on 26/12/2020,"For sale by Modern Method of Auction; Starting Bid Price £675,000 plus reservation fee. Four bedroom detached house plus a detached workshop with established business use, set on a plot approaching two thirds of an acre with OUTLINE PLANNING PERMISSION for the development of FIVE FURTHER DWE...",01924 767122,"£675,000","Richard Kendall, Wakefield",4 bedroom detached house for sale
"Doncaster Road, High Melton, Doncaster",Added on 30/04/2021,"*** OFFERS INVITED ON £675,000 *** A very fine Grade II listed 5/6 bedroom detached stone built Georgian house in the centre of this well regarded and highly sought after village of High Melton.",01302 760322,Offers Invited,"Horton Knights, Doncaster",6 bedroom detached house for sale
"Plot 4 Yew Tree Farm, Marton Cum Grafton, YO51 9QY",Added on 04/05/2021,"A sumptuous 4 bedroom double fronted detached family home boasting an open plan breakfast kitchen, separate sitting and dining room with feature patio doors out onto a private rear garden and set within the highly sought after village of Marton Cum Grafton.",01423 429061,"£675,000","Linley & Simpson, New Homes, Yorkshire",4 bedroom detached house for sale
"Kipping Barn, Lower Kipping Lane, Thornton BD13 3JT",Added on 20/05/2021,"Located in Thornton Village, within walking distance of the local primary school, this Grade II Listed barn conversion was built in the early to mid 1600's and boasts rural views over the railway viaduct and beyond. The property has many claims to fame having previously been used as a television ...",01422 757046,"£675,000","Charnock Bates, Halifax",6 bedroom detached house for sale
"Beaumont Hill, Darlington, DL1",Added on 24/01/2021, ,01325 627335,"£675,000","J W Wood, Darlington",4 bedroom bungalow for sale
"Beech Grove, Harrogate, North Yorkshire",Added on 27/05/2021,"A very rare opportunity to acquire a three bedroom, third-floor apartment which is in need of modernisation benefits from a superb central location on Beech Grove with stunning views overlooking the stray and Harrogate's town centre. With electric underfloor heating the living accommodation comp...",01423 429025,"£675,000","Hopkinsons, Harrogate",3 bedroom apartment for sale
"Street Lane, Leeds",Added on 11/05/2021,"A prominent, traditional detached property located in this most sought after Mootown location, ideal for all of the amenities at Moortown Corner and the North Leeds Ring Road. Currently used as offices, but with scope for a variety of alternative uses, including return to its original residential...",0113 451 3268,"£675,000","Adair Paxton, Horsforth",4 bedroom property for sale
"Stumps Lane, Darley, Harrogate",Added on 04/04/2021,Nestled into the contours of breath-taking Yorkshire countryside a characterful and beautifully presented four-bedroom home with the potential to create a self-contained annexe.,01423 429044,"£675,000","Strutt & Parker, Harrogate",4 bedroom semi-detached house for sale
"Palace Road,
Ripon,
HG4 1FA",Added on 20/11/2020,"A superb 'Penthouse' two-bedroom, second floor apartment, with stunning views over the village, is the largest in the complex at 161.1m² (1,743ft²). This immaculate property is located in The Red House Building, the apartment offers easy access to the formal gardens and communal areas. ",01765 774026,"£675,000",Enterprise Retirement Living,2 bedroom retirement property for sale
"Grosvenor Terrace, York, YO30",Added on 05/10/2020,Impressive 3 storey TOWNHOUSE with delightful PERIOD FEATURES in sought after CITY LOCATION,01904 200064,"£675,000","Preston Baker, York",8 bedroom terraced house for sale
"Jacksons Lane, Bradley, Keighley, BD20",Added on 01/04/2021,"Look at the VIEW from this FOUR bedroom detached BUNGALOW, on the edge of the popular village of BRADLEY. Superb opportunities with a fabulous double GARAGE and OUTBUILDING set within a just under a half acre plot.",01756 535004,"£675,000","Dacre Son & Hartley, Skipton",4 bedroom bungalow for sale
"Westroyd Avenue, Hunsworth, BD19",Added on 28/05/2021,"A great opportunity to purchase this TWO BEDROOM extended through terrace located in this lovely village location. Rare to the market, houses in Hunsworth are proving very popular and the subject would ideally suit FTB's downsizers or small families although it offers potential to extend, subjec...",01274 399093,"£145,000","Robert Watts Estate Agents, Cleckheaton",2 bedroom terraced house for sale
"Northlands Road, Winterton, North Lincolnshire, DN15",,"This superb development opportunity is ideal for an independent builder, located in the popular small town of Winterton. The site measures 1.17 acres in total, offers outline planning for five spacious detached properties - which sit alongside an existing stone built three bedroom detached house",01472 867880,"£675,000","Fine & Country, Grimsby",Land for sale
"Bankside, Yarm",Added on 10/01/2021,Bankside is an immaculately presented spacious six double bedroom detached home featuring an open-plan kitchen dining room and adjoining rear living room both with rear aspect French doors providing access onto a large patio terrace with uninterrupted countryside views. Offered with no onward chain.,01642 268172,"£675,000","roseberry newhouse, Yarm",6 bedroom detached house for sale
"Cleasby Road, Menston, Ilkley",Added on 14/04/2021,"Wow Wow Wow, this is something special, truly unique and simply gorgeous!! Red House was built in 1877, formerly one of Menston’s grandest houses, now converted into two apartments, none of its grandeur has been lost.",01943 678326,"£675,000",,2 bedroom apartment for sale
"Northlands Road, Winterton, DN15",Added on 10/03/2021,"This superb development opportunity is ideal for an independent builder, located in the popular small town of Winterton. The site measures 1.17 acres in total, offers outline planning for five spacious detached properties - which sit alongside an existing stone built three bedroom detached house",01472 867880,"£675,000","Fine & Country, Grimsby",3 bedroom detached house for sale
"Tivy Dale, Cawthorne, Barnsley, S75 4EY",Reduced on 06/05/2021,"An extremely rare opportunity to purchase a no chain, unique farm style detached cottage located centrally in the much sought after village of Cawthorne. The four bedroom property faces away from the road and has been extended recently in complementing stone, creating a superb open plan kitchen/...",01226 799000,"£675,000","Sorbys, Barnsley",4 bedroom detached house for sale
"Parkside Lane, Stanley, Wakefield",Added on 11/05/2021,"A 4 Bedroom Detached Family Home. ""It is our understanding that the Property is not registered at the Land Registry which is the case with a significant proportion of land across England and Wales. Your conveyancer will take the necessary steps and advise you accordingly.""",01924 767124,"£675,000","William H. Brown, Wakefield",4 bedroom detached house for sale
"Blake Street, York, YO1 8QF",Reduced on 15/04/2021,"A fantastic opportunity to buy this unique property, located right in the heart of York’s bustling city centre.",01904 200050,"£675,000","Hunters, York",4 bedroom town house for sale
"Eastgate, Pickering, North Yorkshire, YO18",Added on 21/05/2021, A character period house with adjoining cottage in this picturesque sought after village. ,01904 200057,"£675,000","Savills, York",12 bedroom house for sale
"Merrybent, Merrybent, Darlington",Added on 05/05/2021,"A rare opportunity has arisen to acquire a highly individual, luxurious and unique residence situated in Merrybent on the outskirts of Darlington. This charming residence is set in an enviable position. Offering outstanding, generous and flexible accommodation which is beautifully presented and r...",01325 627307,"£675,000","Denham Properties, Darlington",4 bedroom detached house for sale
"Burn Road, Huddersfield",Added on 27/03/2021,"RESERVE NOW TO TAKE ADVANTAGE OF THE STAMP DUTY HOLIDAY! *** COMING SOON *** Under construction by a reputable, local developer, are these luxurious and well-appointed, stone-built, detached family homes. Nestled within a short distance of the M62 motorway network, serving both Leeds and ...",01480 580156,"£675,000","Martin Thornton Platinum, Huddersfield",5 bedroom detached house for sale
"Derriman Grove, Ecclesall, Sheffield",Added on 22/03/2021,"Guide Price at £675,000 to £700,000. A spacious, extended 5 double bedroom and 3 bathroom detached house in Ecclesall. Built in the 1960’s with a ground floor rear extension in the late 1960’s, and a further addition around 1972, when the property was extended to the s...",0114 467 0240,"£675,000","haus, Sheffield",5 bedroom detached house for sale
"High Street, South Hiendley",Added on 29/04/2021,"***THIS PROPERTY COMES WITH OUTLINE PLANNING PERMISSION*** A large four bedroom detached family home set on a generous sized plot with OUTLINE PLANNING PERMISSION for the erection of two further detached properties with their own entrance off High Street, granted 16th February 2021 under applicat...",01977 325080,"£675,000","Richard Kendall, Pontefract",4 bedroom detached house for sale
"Burn Road,
Huddersfield,
HD2 2EG",Added on 15/04/2021,"The Berkhamsted is a grand regency style home with elegant tall windows and feature front door offering spacious rooms with high end finishes, perfect for a large family. The Berkhamstead also has the added benefit of a detached double garage.
The impressive hallway leads to the many re...",01484 977111,"£674,995",Harron Homes,5 bedroom detached house for sale
"Burn Road,
Huddersfield,
HD2 2EG",Added on 19/04/2021,"The Berkhamsted is a grand regency style home with elegant tall windows and feature front door offering spacious rooms with high end finishes, perfect for a large family. The Berkhamstead also has the added benefit of a detached double garage.
The impressive hallway leads to the many re...",01484 977111,"£674,995",Harron Homes,5 bedroom detached house for sale
"Beech Grove House, Beech Grove, Harrogate",Added on 14/05/2021,"An impressive three-bedroomed apartment with stunning views over the famous Harrogate Stray. A particular feature of the property is the good-sized 18 foot-long balcony. Offered for sale with no onward chain.
",01423 429051,"£670,000","Verity Frearson, Harrogate",3 bedroom apartment for sale
"Menston,
LS29",Added on 28/04/2021,"HIGH SPECIFICATION INCLUDED AS STANDARD. Featuring a light and airy kitchen with skylights and bi-folding doors leading to the garden, separate lounge with french doors and separate dining and utility rooms! Upstairs are 5 double bedrooms, two with en-suites, and a luxurious family bathroom.",0113 451 0071,"£665,995",Stonebridge Homes,5 bedroom detached house for sale
"Main Street, Thornton Curtis",Added on 16/04/2021,"** ADJOINING 2 BEDROOM SELF-CONTAINED GUEST WING/ANNEXE/HOLIDAY LET ** 'The Barn' is an outstanding 18th century barn conversion which is grade 2 listed, peacefully positioned within the heart of the North Lincolnshire countryside, offering the most delightful and versatile accommodation...",01652 808004,"£665,000","Paul Fox, Brigg",5 bedroom detached house for sale
"Plot 2 - Moorsholm, Saltburn-By-The-Sea",Reduced on 17/05/2021,"A home of character with in a rural setting yet brand new with all modern features. Paddock available by separate negotiation. Built by Archer Construction, Plot 2 is a Five-bedroom, two-bathroom property and a shining example of a superb, contemporary home with all the charm that’s desirab...",0191 687 0432,"£665,000","Fine & Country Durham and Tees Valley, Durham",5 bedroom link detached house for sale
"Ripley Road, Knaresborough",Added on 26/05/2021,A beautifully presented four bedroom detached family home with double garage and attractive garden with superb outlook over the surrounding countryside. ,01423 429051,"£665,000","Verity Frearson, Harrogate",4 bedroom detached house for sale
"Miller Hill, Denby Dale",Added on 22/10/2020,"Unique and striking in architecture, The Old Chapel is a fine example of a complete renovation from historic building to residential living. Converted to provide for multi generational living, the property has 7/8 bedrooms arranged over two distinct properties which have internal access to form o...",01484 977006,"£665,000","Yorkshire's Finest, Huddersfield",7 bedroom detached house for sale
"Menston,
LS29",Added on 01/04/2021,"HOUSE TO SELL? ASK US ABOUT PART EXCHANGE!* A spacious kitchen with skylights and bi-fold doors leading to the rear, turfed garden. A bright and airy lounge with French doors and separate dining and utility rooms. 5 double bedrooms, 2 with en-suites. VIEW OUR VIRTUAL TOUR",0113 451 0071,"£662,995",Stonebridge Homes,5 bedroom detached house for sale
"Jagger Green Hall, Holywell Green, HX4 9DE",Reduced on 03/12/2020,"***TO ENABLE SPEEDY COMPLETION SEARCHES ARE ALREADY IN PLACE*** Jagger Green is the former farm at Jagger Green Hall, a Grade II Listed Manor House dating back to the late 17th (to be renovated alongside this development) and planning has been granted to create SEVEN brand new detached homes i...",01422 757035,"£660,000","V G Estate Agent, Ripponden",5 bedroom detached house for sale
"Newfield Lane, Lelley, Hull, East Yorkshire, HU12",Reduced on 21/04/2021,++ A TRULY SPLENDID DETACHED TRUE BUNGALOW IN A FABULOUS TWO-ACRE PLOT ++ HAVEN OF PRIVACY/SECLUSION ++ LOVELY COUNTRYSIDE VIEWS ++ LUXURY ON A GRAND SCALE ++ AN AMAZING PLACE TO CALL HOME ++ PREPARE TO FALL IN LOVE! ++ EPC GRADE - D ++,01482 750089,"£659,995","Reeds Rains, Hull",4 bedroom bungalow for sale
"College Drive, Ilkley, West Yorkshire, LS29",Reduced on 20/05/2021,"A very well appointed and deceptively spacious four bedroom, modern townhouse offering well-proportioned and flexible accommodation planned over three floors and enjoying a most convenient location within comfortable walking distance of the town centre, train station and Ilkley moor.",01943 678307,"£659,950","Dacre Son & Hartley, Ilkley",4 bedroom town house for sale
"Gledhow Avenue, Roundhay, Leeds, LS8",Added on 25/05/2021,Join us for the PROPERTY LAUNCH on Friday 4th June - Call now to book your viewing!,0113 451 3267,"£335,000","Preston Baker, Yorkshire",4 bedroom detached house for sale
"Sunderland Street, Tickhill, Doncaster",Reduced on 13/04/2021,"A substantial and well presented five double bedroom, three storey Grade II period property offering spacious and versatile living accommodation, development opportunity, previously had planning permission for flats, close to the heart of Tickhill within Sunderland Street. This impressive prop...",01302 960160,"£659,000","Portfield, Garrard & Wright, Tickhill",5 bedroom town house for sale
"Follynook Park, Ranskill, DN22 8NQ -Stunning New Build Homes",Added on 19/05/2021,"Follynook Park has been built around its own garden parkland at the end of the development in the shade of tall trees. It is a space for children to play, families to picnic and for everyone to foster a real sense of community. Offering a selection of only nine detached five and six bedroom home...",0114 467 1716,"£655,000","MorfittSmith, Sheffield",6 bedroom detached house for sale
"Woods Court, Harrogate, North Yorkshire",Reduced on 19/05/2021," This well presented family home located in a highly desirable residential area close to sought after schools, boasts four bedrooms and benefits from having extended living space along with enclosed gardens to the rear.    Fronted by an attractive lawned garden and block se...",01423 429026,"£655,000","Myrings Estate Agents, Harrogate",4 bedroom detached house for sale
"Morgan Street, Scarborough, North Yorkshire, YO12",Added on 28/10/2020,"This is an investment opportunity to purchase a ready-made Scarborough portfolio consisting of 7 units generating £37,116 rent pa & gross yield of 5.7%.",020 3858 9843,"£652,500","Vesta, London",12 bedroom block of apartments for sale
"St. Paul's Square, York, YO24",Added on 14/05/2021,A handsome Grade II Listed townhouse with views across York’s premier private square.,01904 200062,"£650,000","Carter Jonas, York",3 bedroom terraced house for sale
"22 Mylnhurst Road, Ecclesall, S11 9HU",Added on 13/05/2021,A fine Edwardian detached family home with a superb range of beautifully presented accommodation laid out over 3 floors. This lovely family home has retained much of its original charm including stained glass panels on the internal doors alongside wood panelling and a feature fireplace in the la...,0114 467 1595,"£650,000","Eadon Lockwood & Riddle, Banner Cross",4 bedroom detached house for sale
"Plot 5 , Moorsholm, Saltburn-By-The-Sea",Added on 25/05/2021,"A home of character in a rural setting yet brand new with all modern features.. A paddock is available under separate negotiation. Built by Archer Construction, Plot 5 is a Five-bedroom, two-bathroom property and a shining example of a superb, contemporary home with all the charm that’s des...",0191 687 0432,"£650,000","Fine & Country Durham and Tees Valley, Durham",5 bedroom link detached house for sale
"Holme House Lane, Rishworth, Sowerby Bridge",Added on 10/05/2021,"A rare opportunity to purchase this unique detached residence set within a rural setting within the sought after location of Rishworth. Retaining a wealth of period features such as exposed beams and stone mullion windows, the property requires modernisation and offers prospective purchasers the ...",01422 757046,"£650,000","Charnock Bates, Halifax",4 bedroom detached house for sale
"Barton Street, Keelby, DN41",,VIDEO VIEWING AVAILABLE - A rare opportunity to purchase 0.32 hectares (approximately 0.8 acre) of prime building land which has the benefit of outline planning permission for 5 detached dwellings with double garages. Situated in the sought-after village of Keelby with its good local shopping fac...,01472 565033,Sale by Tender,"Jackson Green & Preston, Grimsby",Land for sale
"Crowgate, South Anston, Sheffield",Added on 30/03/2021,"An outstanding five bedroomed detached residence, situated on a private corner plot and providing generously proportioned family living over three floors with character features. Bleak House has the advantage of many period features such as high ceilings with decorative coving, exposed timber bea...",0114 467 1685,"£650,000","Blenheim Park Estates, Sheffield",5 bedroom detached house for sale
"Malton Road, York",Added on 12/02/2020,"This truly substantial detached home is set to the North East of York, in a most convenient location yet is nestled in a large, established plot and offers a feeling of space and tranquillity. The accommodation totals in excess of 2,500 sq ft, the property would make an ideal large family home ye...",01904 200093,"£650,000","Ashtons Estate Agents, York",5 bedroom detached house for sale
"Earswick Chase, Earswick, York",Added on 25/05/2021,"A substantial four bedroom executive detached house, situated on a good sized plot and has been subject to a scheme of modernisation throughout by the current sellers to the highest of standards. The property forms part of a sought after modern development of exclusively detached homes with a cen...",01904 200093,"£650,000","Ashtons Estate Agents, York",4 bedroom detached house for sale
"The Paddock, Shelf Moor Road, Halifax",Added on 02/02/2021,"The Paddock is a substantial five bedroom detached home enjoying an elevated position overlooking exceptional landscaped gardens and mature woodland. This property has been sympathetically extended by the current owners to a high standard with the addition of a bar/garden room, two further bedroo...",01422 757046,"£650,000","Charnock Bates, Halifax",5 bedroom detached house for sale
"St Erics Road, Bessacarr, Doncaster, DN4",Added on 29/01/2021,"3D Tour AvailableWe have enjoyed living here for 20 years. The previous residents were here even longer. People who move to this street stay for a very long time. We enjoy a lovely cul-de -sac location, sitting on a very private plot of around one third of an acre. We are set back from ...",01302 960095,"£650,000","The Property Hive, Bessacarr",5 bedroom detached house for sale
"Sicklinghall Road, Wetherby",Reduced on 08/03/2021,"A stunning newly developed townhouse by Quarter Developments beautifully finished to exacting standards with innovative architectural design, positioned in a convenient rural setting close to Linton and Wetherby.",01423 429044,"£650,000","Strutt & Parker, Harrogate",3 bedroom town house for sale
"Church Lane, Huntington, York",Added on 26/05/2021,"The Old Dairy occupies a wonderful semi rural position just off the old village of Huntington towards the end of Church Lane just beyond All Saints Church. Surrounded by countryside and just a handful of other attractive properties, The Old Dairy offers the convenience of being just three miles f...",01904 200093,"£650,000","Ashtons Estate Agents, York",4 bedroom detached house for sale
"Sicklinghall Road, Wetherby",Reduced on 08/03/2021,"A stunning newly developed townhouse by Quarter Developments beautifully finished to exacting standards with innovative architectural design, positioned in a convenient rural setting close to Linton and Wetherby.",01423 429044,"£650,000","Strutt & Parker, Harrogate",4 bedroom town house for sale
"St. Martins Lane, Bishophill, York, YO1 6LN",Added on 19/04/2021,A beautifully presented and SYMPATHETICALLY UPDATED GRADE II LISTED PERIOD END TOWNHOUSE situated in the BISHOPHILL CONSERVATION area within the heart of York.,01904 200036,"£650,000","Hudson Moody, Micklegate",3 bedroom town house for sale
"The Old Vicarage, Sleights",Reduced on 24/05/2021,"Hope & Braim are delighted to present The Old Vicarage in the village of Sleights to the market. This is one of the finest period homes in the area and comes with the amenities of a garden and a double garage. Built in 1765 for the curate of the Parish, this Grade II listed property was subs...",01947 496033,"£650,000","Hope & Braim Estate Agents, Whitby",5 bedroom detached house for sale
"Hull Road, Cottingham",Reduced on 22/03/2021,"This executive style detached residence stands proudly on expansive mature grounds, of approximately one acre, within the Village of Cottingham. A private gated entrance leads to the unique and spacious detached property which has four bedrooms and en-suite bathroom to the principle bedr...",01482 750246,"£650,000","Whitakers, Anlaby",5 bedroom detached house for sale
"Wakefield Road, Ackworth ",Reduced on 26/04/2021,"** HAS PLANNING FOR TWO BUSINESSES - COULD BE CONVERTED INTO LIVING ACCOMMODATION OR ANNEX **MUCH LARGER THAN EXPECTED!! APPROX 3700 SQ FT ** FAMILY HOME CLOSE TO OPEN COUNTRYSIDE AND PARKLAND ** SOUGHT AFTER LOCATION** Boasting a welcoming entrance hall, grand dining room with bay window, open p...",01977 325064,"£650,000","Enfields, Pontefract",5 bedroom detached house for sale
"Leeds Road, Harrogate, HG2",Added on 19/05/2021,A wonderful family home which provides flexible and spacious accommodation throughout whist retaining much of the buildings original character and charm - NO CHAIN!,01937 358014,"£650,000","Furnell Residential, Leeds",3 bedroom detached house for sale
"Main Street, Horkstow",Added on 16/09/2020,THE MANOR. An impressive and HISTORIC Grade II Listed Farmhouse within approx 2/3 acre grounds in the Woldside village of Horkstow. The home offers generously proportioned 5 bedroom family accommodation with 3 Reception rooms and a 22' Breakfast Kitchen which links to the rear Courtyard. In addit...,01652 783030,"£650,000","Newton Fallowell, Brigg",5 bedroom detached house for sale
"Molescroft Road, Beverley",Added on 10/05/2021,Large family house in one of Beverley's most sought after areas - some modernisation required.,01482 750077,"£650,000","Quick & Clarke, Beverley",4 bedroom detached house for sale
"Smugglers, The Dock, Robin Hoods Bay, Whitby",Added on 31/03/2021,Unique freehold detached independent free house situated in a prime location in The Dock at Robin Hoods Bay. Built in the 1600's and situated only 30 yards from the sea.,01947 496002,"£650,000","Jacksons Property Service, Whitby",8 bedroom detached house for sale
"Bishop Thornton, Harrogate",Added on 13/04/2021,**** REQUIRING MODERNISATION & UPGRADING **** A substantial Detached Bungalow set within this most sought after village location with enormous potential for further expansion and improvement.,01423 429036,"£650,000","Stephensons, Knaresborough",4 bedroom detached bungalow for sale
"Warnham House (PLOT 17), Main Street, Melbourne , York , YO42",Added on 28/05/2021,"THE LAST OF THE EVERINGHAM DESIGN, READY FOR OCCUPATION THIS SUMMER AND INCLUDES PADDOCKOffering beautiful views across peaceful countryside, The Paddocks presents an increasingly rare opportunity: high-specification new homes in a picturesque rural setting, all just a short drive ...",01904 200091,"£650,000","Lancaster Samms, York",5 bedroom detached house for sale
"Brookfield, Hampsthwaite, North Yorkshire",Added on 12/04/2021, An impressive 5 bedroom detached house standing in landscaped gardens enjoying open views towards a central green and Oak tree located within a short walk of the village of amenities in Hampsthwaite.    With double glazing and gas fired central heating the property comprise...,01423 429026,"£650,000","Myrings Estate Agents, Harrogate",5 bedroom detached house for sale
"Littlebeck View, Vicars Close",Reduced on 15/02/2021,Unashamedly Opulent! A Magnificent Example of an Individual Designed Family Residence in the Village of Thorpe Thewles. The Interior is of the Highest Order and is Even Further Enhanced by Countryside Views and Quite Simply Must Be Viewed!,01642 268067,"£650,000","Michael Poole, Stockton On Tees",4 bedroom bungalow for sale
"Stockton Lane, York",Reduced on 27/05/2021,"This impressive four bedroom detached house offers spacious internal living accommodation and neighbours the local Stray, with stunning views towards the city.",01904 200099,"£650,000","Linley and Simpson, York, York",4 bedroom detached house for sale
"Farrow Drive, Walkington, East Yorkshire, HU17 8RX",Added on 24/03/2021,"A TRULY STUNNING NEW BUILD BUNGALOW, FINISHED TO THE HIGH'EST OF STANDARDS THROUGHOUT, OFFERING A HIDDEN AWAY GEM IN THE HEART OF WALKINGTON!",01482 750009,"£650,000","Hunters, Beverley",2 bedroom detached bungalow for sale
"Grove Road, Horbury, Wakefield, West Yorkshire, WF4",Reduced on 07/05/2021,Rare to the market this spacious and superb 5 bedroom dormer bungalow with double garage and large gardens is a must view. The property has been designed to offer a very spacious family home which is tucked away offering a nice quiet location in Horbury. When you step foot into the property you...,01924 767185,"£650,000","Bridgfords, Wakefield",5 bedroom bungalow for sale
"Spring Mount, Harrogate, HG1 2HX",Added on 16/10/2020,ATTENTION INVESTORS - Victorian mid terrace containing 4 self-contained bedsits and 4 additional bedsits!,01423 429011,"£650,000","FSS, Harrogate",8 bedroom terraced house for sale
"Moorgate Road, Rotherham",Added on 19/11/2020,"Accessed via electric security gates to the driveway & situated upon the prestigious Moorgate Road,is this 5/6 bedroom detached executive home which can only be fully appreciated via an internal inspection to appreciate the standard of fixtures & fittings within.
This 3 storey family home...",01709 230068,"£650,000","Eadon Lockwood & Riddle, Wickersley",5 bedroom detached house for sale
"Wakefield Road, Ackworth, Pontefract",Reduced on 26/04/2021,"FIVE BEDROOM VICTORIAN DETACHED,3700 SQUARE FOOTAGE, FABULOUS BUSINESS OPPORTUNITY,LARGE ROOMS THROUGHOUT,INCLUDING DINING KITCHEN, LOUNGE, SEPARATE DINING ROOM , SNUG, FIVE DOUBLE BEDROOMS,STUNNING FAMILY BATHROOM. LOWER GROUND FLOOR HAS SEVERAL ROOMS INCLUDING A GREAT SIZE UTILITY ROOM.",01977 325033,"£650,000","William H. Brown, Pontefract",5 bedroom detached house for sale
"Woodthorpe Drive, WAKEFIELD",Reduced on 05/05/2021,Deceptively SPACIOUS from the outset and set back on a private road this property lies within a tree-lined avenue. EXCELLENT SIZED GARDENS. The property holds an abundance of reception room space and would make a wonderful FAMILY HOME.,01924 767124,"£650,000","William H. Brown, Wakefield",5 bedroom detached house for sale
"Roseberry View, Sadberge, Darlington",Added on 07/04/2021,"**VIDEO TOUR AVAILABLE UPON REQUEST** An outstanding property built in 2019 in an exclusive private development. Roseberry view, as per its name, benefits from beautiful countryside views towards the Cleveland Hills and looks across towards Roseberry Topping. Located just outside the popular vill...",01325 627350,"£650,000","Carver Residential, Darlington",5 bedroom detached house for sale
"Greenway, Carlton-In-Lindrick, Worksop",Added on 19/05/2021,"*GUIDE PRICE £650,000 - 700,000* Offered for sale is this STUNNING detached GRADE II LISTED 18th century restoration, Dragon Cottage, situated in a conservation area of the sought-after village of Carlton-In-Lindrick, sympathetically modernised & renovated to an extremely high specification.",01909 292004,"£650,000","William H. Brown, Worksop",3 bedroom detached house for sale
"Sledgate Lane, Wickersley, Rotherham",Added on 18/03/2021,"WHEN LOCATION IS EVERYTHING! - The Maple - set on this prestigious development in Wickersley on arguably one of Rotherham's most sought after roads, this luxurious five bedroom detached new build is being built to the highest of standards! CALL NOW FOR MORE INFORMATION!",01709 230037,"£650,000","William H. Brown, Rotherham",5 bedroom detached house for sale
"Marton Road, Gargrave",Added on 28/05/2021,"A CHARMING STONE BUILT FAMILY HOME SET IN THE TRANQUIL VILLAGE OF GARGRAVE WITH STUNNING VIEWS OVER THE FIELDS TO THE REAR. BOASTING FOUR DOUBLE BEDROOMS, A BEAUTIFUL COTTAGE STYLE REAR GARDEN AND A DOUBLE GARAGE, THIS FANTASTIC HOME IS ONE NOT TO BE MISSED! Morello is located on the peaceful Ma...",01756 535017,"£650,000","Dale Eddison, Skipton",4 bedroom detached house for sale
"Glen Road, Eldwick, Bingley",Added on 25/05/2021,"Welcome to 31 Glen Road. A spectacular, individually designed detached property located within one of Eldwicks most sought after locations. Glen Road is a stunning setting surrounded by superb countryside walks with Baildon Moor, Gilstead and Guiseley are all within easy reach. Bingley to...",03304 609968,"£650,000","eXp UK, UK",5 bedroom detached house for sale
